feature,importance
recent_form_score,0.1694846370844731
performance_std,0.1255324291464552
opp_performance,0.06027867713159945
bat_avg_sr,0.05334868761640221
performance_cv,0.05199753705802002
opp_bat_avg,0.04583576915218892
venue_performance,0.04453656705233047
bat_consistency,0.04233537128030907
bat_matches,0.041720317833509185
bowl_avg_economy,0.039180357572771246
bowl_matches,0.03810646167939294
bat_recent_form,0.03614162931533427
bat_avg_runs,0.0351786324486813
bowl_consistency,0.03467481820075433
bowl_avg_wickets,0.03304127615823174
venue_bat_avg,0.029389764508556335
opp_matches,0.02376824178926011
opp_bowl_avg,0.023015805412919185
venue_bowl_avg,0.017561881904124527
venue_matches,0.016861616084106582
bat_max_score,0.016805511176056366
bowl_recent_form,0.015381894108273321
bowl_max_wickets,0.004855905207980051
matches_in_window,0.0009662110782700427
