feature,importance
performance_std,0.24217309893549327
recent_form_score,0.18742301815922768
performance_cv,0.1122259335269051
opp_bowl_avg,0.04798070703716482
bowl_consistency,0.04793076367697579
opp_performance,0.03531710240794978
bat_avg_runs,0.03408060417623689
bat_recent_form,0.03380385425146276
venue_bowl_avg,0.03070599637391575
opp_bat_avg,0.028433249821372884
bowl_avg_economy,0.027238826875948485
bat_max_score,0.026037430731537716
bat_consistency,0.025470563340562476
bowl_matches,0.0253553709065274
bat_matches,0.017195815742307587
venue_matches,0.016804186825485165
venue_bat_avg,0.015173071425698204
venue_performance,0.013974985468942715
bat_avg_sr,0.009729035825738717
opp_matches,0.008617857535624057
bowl_avg_wickets,0.007650352200352777
bowl_recent_form,0.005553387371687102
matches_in_window,0.000653002590914145
bowl_max_wickets,0.0004717847919687051
